ps_product_id,product_name,category_name,brand_name,synonyms_pl,synonyms_en
1153,Rękawice BARE 5mm Glove,Rękawice,BARE,"rękawice neoprenowe, rękawice nurkowe, rękawice do nurkowania","dive gloves, neoprene gloves, diving gloves, 5mm gloves"
1154,Rękawice BARE 5mm Gauntlet Glove,Rękawice,BARE,"rękawice neoprenowe, rękawice nurkowe, rękawice długie, rękawice z mankietem","gauntlet gloves, neoprene gauntlets, diving gauntlets, dive gloves, long cuff gloves"
1158,Buty BARE Ice Boot 6mm,Buty,BARE,"buty neoprenowe, botki nurkowe, buty nurkowe, buty do nurkowania","neoprene boots, dive boots, ice boots, wetsuit boots, diving boots"
1160,Skarpety BARE Neo Socks,Buty,BARE,"skarpety neoprenowe, skarpety nurkowe, skarpety do nurkowania","neoprene socks, dive socks, wetsuit socks, diving socks"
1228,Maska Podlodowa EQUES,Kaptury,EQUES,"kaptur pełnotwarzowy, maska neoprenowa, kaptur podlodowy, osłona twarzy, kominiarka neoprenowa","full face hood, ice diving hood, neoprene face mask, under ice hood, full face neoprene hood"
1258,LUXFER Butla 7l z zaworem,Butle Aluminiowe,LUXFER,"butla aluminiowa, cylinder nurkowy, butla stage, butla boczna, zbiornik nurkowy","aluminum cylinder, aluminium tank, stage bottle, scuba tank, diving cylinder"
1382,HALCYON Taśma do uprzęży DIR,Płyty i uprzęże,HALCYON,"uprząż nurkowa, taśma do uprzęży, szelki nurkowe, harness nurkowy, system uprzęży","harness webbing, dir harness, backplate harness, diving harness strap"
1434,ScubaTech Manometr Tlenowy 300 bar wąż 15cm,Manometry,SCUBATECH,"manometr tlenowy, wskaźnik ciśnienia, spg, czujnik ciśnienia, manometr wysokiego ciśnienia","oxygen pressure gauge, spg, pressure gauge, oxygen compatible gauge, high pressure gauge"
1435,SCUBATECH Manometr 50mm chrom moduł,Manometry,SCUBATECH,"manometr nurkowy, wskaźnik ciśnienia, spg, czujnik ciśnienia, manometr chromowany","pressure gauge, spg, submersible pressure gauge, chrome pressure gauge, dive gauge"
1436,TECLINE Manometr do butli pony,Manometry,TECLINE,"manometr do pony, wskaźnik ciśnienia, spg, manometr stage, czujnik ciśnienia","pony bottle gauge, pressure gauge, spg, stage pressure gauge, submersible pressure gauge"
1438,SCUBATECH Manometr Kontrolny,Manometry,SCUBATECH,"manometr kontrolny, wskaźnik ciśnienia, czujnik ciśnienia, spg, manometr serwisowy","pressure gauge, tank pressure gauge, spg, control pressure gauge, submersible pressure gauge"
1457,SUUNTO Konsola CB2 In Line 300/45,Konsole,SUUNTO,"konsola nurkowa, konsola z głębokościomierzem, przyrządy pomiarowe, konsola dwuelementowa","dive console, diving console, pressure gauge console, two gauge console, instrument console"
1460,SUUNTO Manometr CB-One 300 wąż 80cm,Manometry,SUUNTO,"manometr nurkowy, wskaźnik ciśnienia, spg, czujnik ciśnienia, manometr do konsoli","pressure gauge, spg, submersible pressure gauge, dive gauge, console pressure gauge"
1462,SUUNTO Manometr SM-36/300 wąż 80cm,Manometry,SUUNTO,"manometr nurkowy, wskaźnik ciśnienia, spg, czujnik ciśnienia","pressure gauge, spg, submersible pressure gauge, dive gauge, high pressure gauge"
1463,SUUNTO Manometr SM-36/300 moduł,Manometry,SUUNTO,"manometr nurkowy, wskaźnik ciśnienia, spg, czujnik ciśnienia, manometr modułowy","pressure gauge module, spg, submersible pressure gauge, modular gauge, console gauge module"
1617,POSEIDON Jetstream 2gi Stopień Octopus,POSEIDON,POSEIDON,"aparat oddechowy, oktopus, zapasowy automat, octo, alternatywne źródło powietrza, drugi stopień","octopus regulator, backup regulator, alternate air source, secondary second stage"
1618,POSEIDON Cyklon Octopus żółty,POSEIDON,POSEIDON,"oktopus, zapasowy automat, octo, alternatywne źródło powietrza, drugi stopień","octopus regulator, backup regulator, alternate air source, secondary second stage"
1619,POSEIDON Cyklon Metal Octopus żółty,POSEIDON,POSEIDON,"oktopus, zapasowy automat, octo, alternatywne źródło powietrza, drugi stopień","octopus regulator, backup regulator, alternate air source, secondary second stage"
1620,Automat POSEIDON Cyklon 5000 + Octopus Cyklon,POSEIDON,POSEIDON,"automat oddechowy, regulator, aparat oddechowy, zestaw automatów","scuba regulator, regulator set, breathing apparatus, regulator with octopus, lung"
1622,Automat POSEIDON Cyklon 5000 Metal,POSEIDON,POSEIDON,"automat oddechowy, regulator, aparat oddechowy, automat","scuba regulator, breathing apparatus, demand valve, diving regulator, lung"
1623,Automat POSEIDON Jetstream MK3 + Octopus Jetstream,POSEIDON,POSEIDON,"automat oddechowy, regulator, aparat oddechowy, zestaw automatów","scuba regulator, regulator set, breathing apparatus, regulator with octopus, lung"
1628,Automat POSEIDON Xstream Deep MK3,POSEIDON,POSEIDON,"automat oddechowy, regulator, aparat oddechowy, automat głębinowy","scuba regulator, deep diving regulator, breathing apparatus, demand valve, lung"
1629,Automat POSEIDON Xstream Duration90,POSEIDON,POSEIDON,"automat oddechowy, regulator, aparat oddechowy, automat nitroksowy","scuba regulator, nitrox regulator, breathing apparatus, demand valve, lung"
1631,POSEIDON Xstream Dive Octopus (2-gi stopień),POSEIDON,POSEIDON,"aparat oddechowy, oktopus, zapasowy automat, octo, alternatywne źródło powietrza, drugi stopień","octopus regulator, backup regulator, alternate air source, secondary second stage"
1862,"HALCYON Boja nurkowa (1m), nadmuchiwana ustnie, pomarańczowa",Bojki dekompresyjne,HALCYON,"boja dekompresyjna, smb, boja sygnalizacyjna, bojka deco","smb, surface marker buoy, deco buoy, safety sausage, oral inflation smb"
